sample,timestamp,temperature_C,humidity_RH,condition,R0,C0,R1,L1,C1,f_res_khz,Q_factor,r2_magnitude,r2_real,r2_imag
sample_0,2026-03-05 15:53:51,22.4,42.0,"22.4°C, 42.0%RH",302.4730247912383,1.5431967896716178e-09,606.7692894849463,0.019999983053789114,3.388301828964577e-11,193.3366871807414,40.04056315956055,-3.466173025294024,0.817997812524821,-39.18804969908494
sample_5,2026-03-05 15:53:51,22.4,42.0,"22.4°C, 42.0%RH",84.08267092074821,2.0906455514672516e-09,801.2009816222917,0.01999999069762611,3.428478162827044e-11,192.20051233017946,30.145516571089935,-18.630484597031703,0.9800008364531578,-210.88781024171055
sample_10,2026-03-05 15:53:51,22.4,42.0,"22.4°C, 42.0%RH",224.87954570989896,1.043839226207007e-09,1340.6749664539902,0.01999998264531887,2.497369416843602e-11,225.19768812640336,21.10813751048351,-12.268724890662991,0.8750174257085989,-87.49820844274396
sample_0,2026-03-06 13:56:17,21.9,50.0,"21.9°C, 50.0%RH",332.7195696094229,1.5538321402796311e-09,667.4353921363156,0.01999998297701413,3.3886344976791195e-11,193.3271972031373,36.39931550998122,-4.089681177971779,0.7744967541365172,-46.75507899534502
sample_5,2026-03-06 13:56:17,21.9,50.0,"21.9°C, 50.0%RH",126.64946147237445,1.6873439583980075e-09,1206.739927743301,0.019999989562131528,3.452731611888016e-11,191.52427923036407,19.944345612917125,-35.119976747563314,0.8299914096559294,-386.59266866683754
sample_10,2026-03-06 13:56:17,21.9,50.0,"21.9°C, 50.0%RH",208.06758514524446,9.773216735393552e-10,1474.6838864172335,0.01999998261847648,2.5122099757561024e-11,224.53153976247776,19.133213003256735,-14.491113349543086,0.9083599917874338,-99.55175474788653
sample_0,2026-03-11 16:03:00,22.3,44.0,"22.3°C, 44.0%RH",382.62707498369343,1.6033763512962526e-09,767.5496807355853,0.01999998111957274,3.4074563922891286e-11,192.79252242682836,31.564080634991,-4.8944607119116945,0.7958754785775678,-55.12257530076847
sample_5,2026-03-11 16:03:00,22.3,44.0,"22.3°C, 44.0%RH",113.98477889437719,1.8560714439451374e-09,1086.0734047224746,0.019999989309794883,3.431003954199179e-11,192.12976014846495,22.230288220554947,-21.96897577053079,0.7916054187659833,-229.37287041917887
sample_10,2026-03-11 16:03:00,22.3,44.0,"22.3°C, 44.0%RH",208.53024038686738,9.662056998354254e-10,1622.116725389787,0.019999980816348517,2.5414315876824092e-11,223.23697572865893,17.293921190453265,-17.20155996349615,0.9287097208815308,-117.91332666839907
sample_0,2026-03-13 14:46:45,23.3,36.0,"23.3°C, 36.0%RH",199.4257257523333,2.086824244545819e-09,741.9778407883881,0.01999998039612064,3.306276508464767e-11,195.72024960743852,33.14776597517029,-7.487187622608614,0.9525716600081211,-82.40703868053193
